type (special)	priority	without tran	in khmer				
	1	ng	នឹង				
		ng	ហ្នឹង				
		anh 	អញ				
		ah	អា				
		kom	កុំ				
		loy	ឡូយ				
		luy	លុយ				
		sl	ស្រឡាញ់				
		ss	សង្សារ				
		s'ey	ស្អី				
		khos	ខុស				
swear		jm	ចុយម៉ាយ				
swear		kdmh	ក្តួយម៉ែអ្ហែង				
swear		kdmv	ក្តួយម៉ែវា				
		nis	នេះ				
		nos 	នោះ				
		tnam	ថ្នាំ				
eng		mean	មាន				
abv	1	b	បង				
		bong 	បង				
abv	1	o	អូន				
		oun	អូន				
swear		jui	ចុយ				
swear		juii	ចុយ				
		ot	អត់				
		jes	ចេះ				
	1	eyas	អីយ៉ាស				
		steav	ស្ទាវ				
		nas	ណាស់				
		dek	ដេក				
		kperm	ខ្ពើម				
		jrik	ចរិត				
		knea	គ្នា				
eng		you	(pure input)				
eng	1	u	(pure input)				
	1a	jg	ចង់				
	1a	jg	ជង				
eng		dog	ឆ្កែ				
		tt	ទៀត				
		mix	ម៉េច				
		jng	ចង់				
		mk	មក				
		na	ណា				
		ke	គេ				
eng (diff)	1	brb	ប្រាប់				
eng(abv)		prv	private 				
		dg	ដឹង				
	 	tae	តែ				
	1	tea	តែ				
eng(abv)		cr	crush 				
		jenh	ចេញ				
		ban	បាន				
		jol	ចូល				
		banh	បាញ់				
		kbal	ក្បាល				
eng(abv)		eya	អីយ៉ាស				
		c	ស៉ី				
		tnong	ទំនង				 
	1	muy	មួយ				
		muy	1				
		yap	យ៉ាប់				
		kiki	គីគី				
		chuii	ឆុយ				
		pel	ពេល				
		bab	បាប				
		bn	បាន				
		brab	ប្រាប់				
		kron	គ្រាន់				
		yk	យក				
		phg	ផង				
		nhe nhaii	រញ៉េរញ៉ៃ				
miss		nhe	រញ៉េ				
miss		nahii	រញ៉ៃ				
		p'teas	ផ្ទះ				
		aylov	ឥឡូវ				
	1	hx	ហើយ				
		klun	ខ្លួន				
		jay	ចាយ				
		min	មិន				
		merl	មើល				
		vea	វា				
		nv	នៅ				
		dak	ដាក់				
		av	អាវ				
		khor	ខោ				
		hz	ហើយ				
		trv	ត្រូវ				
		oy	ឱ្យ				
		oy	អោយ				
eng		*name*	ask				
		sok	សុខ				
		mngai	មួយថ្ងៃ				
		kru	គ្រូ				
		sin	សិន				
		pyat 	ប្រយ័ត្ន				
		yab	យ៉ាប់				
		mun	មុន				
		sach	សាច់				
		jren	ច្រើន				
		sur	សួរ				
		ya	យ៉ា				
		"ey yah"	អីយ៉ាស				
		yah	យ៉ាស				
		"ey ya"	អីយ៉ា				
		rean	រៀន				
		kjel	ខ្ជិល				
		krur sa	គ្រួសារ				
		chue	ឈឺ				
		tver	ធ្វើ				
		kor	ក៏				
		Srol	ស្រួល				
		hg	អ្ហែង				
		Kernh	ឃើញ				
		thunnh	ធុញ				
		ha	ហា				
		te	ទេ				
		ja	ចា				
		ahnakot	អនាគត				
		men	មែន				
		hark	ហាក់				
		keang	គាំង				
		nah	ណា				
		mea	ម៉ែ				
		hah	ហា				
		dermbey	ដើម្បី				
		khom	ខំ				
		jlom	ច្រឡុំ				
		jlom	ច្រលំ				
		mg	ម៉េច				
		dea	តែ				
		jit	ជិត				
		sdach	ស្តេច				
		kamjea	ឥឡូវ				
		leab	លាភ				
		lv	ឥឡូវ				
		thom	ធំ				
		somkhan	សង្ក្រាន្ត				
		dor	ដ៏				
		torv	ទៅ				
		rk	រក				
		orn	អន់				
		tum	ទុំ				
		yp	យ៉ាប់				
		jas	ចាស				
		jas	ចាស់				
		kmeng	ក្មេង				
		toch	តូច				
		leang	ឡើង				
			លេង				
		ham	ហាម				
		bork	បោក				
		mui	មួយ				
		mui	1				
		doch	ដូច				
		chet	ចិត្ត				
		chop	ចប់				
		os ling	អស់រលីង				
		ling	រលីង				
		yy	និយាយ				
		jmr	ចុយម្រាយ				
		puk	ពួក				
		khob	ខប់				
		nus	នោះ				
		tnak	ថ្នាក់				
		lerk	ឡើក				
		sngat	ស្ងាត់				
		kuy	អង្គុយ				
		ther	ធ្វើ				
		mes	ម៉្លេះ				
		tngai	ថ្ងៃ				
		pbak	ពិបាក				
		mer	មើល				
		tuimui	ទុយមុយ				
		tlong	ថ្លង់				
		yub	យ៉ាប់				
		pi	ពីរ				
		tne	ទំនេរ				
		tam	តាម				
swear		ejui	អីចុយ				
		lue	ឮ				
